numvar,numqubit,minenergy,maxchainlength,chainstrength,qpusamplingtime,qpuaccesstime,qpuprogrammingtime,preparetime,classicaltime
16, 17, -28.000000, 2, 24.327376, 16818.0, 32578.36, 15760.36, 558.800000, 0.000000
16, 17, -28.000000, 2, 24.162443, 9212.0, 24972.36, 15760.36, 110.300000, 0.000000
26, 35, -40.000000, 2, 24.803201, 14554.0, 30313.56, 15759.56, 294.400000, 0.000000
45, 84, -48.000000, 3, 34.124013, 15760.0, 31521.16, 15761.16, 313.900000, 0.000000
51, 136, -44.000000, 5, 34.595013, 12094.0, 27855.16, 15761.16, 419.500000, 0.000000
88, 422, -40.000000, 9, 41.876629, 21554.0, 37312.76, 15758.76, 707.700000, 0.000000
88, 449, -52.000000, 9, 41.702650, 10456.0, 26218.36, 15762.36, 888.100000, 0.000000
100, 487, -56.000000, 10, 41.808515, 10618.0, 26378.76, 15760.76, 804.900000, 0.000000
16, 16, -20.000000, 1, 24.653932, 11516.0, 27276.76, 15760.76, 267.200000, 0.000000
16, 16, -32.000000, 1, 23.996376, 12932.0, 28692.36, 15760.36, 109.200000, 0.000000
26, 38, -40.000000, 3, 24.803201, 12890.0, 28649.56, 15759.56, 182.800000, 0.000000
45, 77, -52.000000, 3, 33.683684, 18202.0, 33962.76, 15760.76, 294.200000, 0.000000
51, 143, -44.000000, 5, 34.431442, 10990.0, 26750.36, 15760.36, 515.300000, 0.000000
88, 413, -48.000000, 9, 41.282108, 13846.0, 29608.36, 15762.36, 760.100000, 0.000000
88, 368, -52.000000, 7, 41.597913, 18684.0, 34448.36, 15764.36, 1024.600000, 0.000000
100, 567, -40.000000, 11, 41.961269, 15232.0, 30992.76, 15760.76, 774.500000, 0.000000
16, 17, -28.000000, 2, 23.829152, 16964.0, 32724.36, 15760.36, 306.100000, 0.000000
16, 16, -28.000000, 1, 24.162443, 9620.0, 25379.96, 15759.96, 195.100000, 0.000000
26, 34, -40.000000, 2, 24.603975, 11856.0, 27616.76, 15760.76, 154.200000, 0.000000
45, 116, -44.000000, 5, 34.310995, 11052.0, 26812.36, 15760.36, 378.600000, 0.000000
51, 149, -44.000000, 5, 34.649365, 20796.0, 36556.36, 15760.36, 444.200000, 0.000000
88, 404, -48.000000, 8, 41.562942, 16302.0, 32063.96, 15761.96, 699.300000, 0.000000
88, 413, -36.000000, 9, 42.187984, 19766.0, 35527.96, 15761.96, 699.900001, 0.000000
100, 579, -36.000000, 11, 42.566802, 21554.0, 37316.76, 15762.76, 785.100000, 0.000000
16, 19, -28.000000, 2, 24.491198, 7986.0, 23747.16, 15761.16, 321.600000, 0.000000
16, 16, -24.000000, 1, 24.491198, 10484.0, 26245.96, 15761.96, 117.800000, 0.000000
26, 37, -36.000000, 3, 25.488231, 14748.0, 30509.56, 15761.56, 239.200000, 0.000000
45, 104, -48.000000, 4, 33.998786, 16086.0, 31849.16, 15763.16, 341.900000, 0.000000
51, 150, -44.000000, 5, 34.649365, 15846.0, 31608.36, 15762.36, 355.300000, 0.000000
88, 396, -44.000000, 8, 41.876629, 20000.0, 35761.16, 15761.16, 686.900000, 0.000000
88, 448, -48.000000, 10, 42.049888, 19840.0, 35597.96, 15757.96, 831.100000, 0.000000
100, 585, -36.000000, 10, 42.113468, 21206.0, 36970.76, 15764.76, 1214.100000, 0.000000
16, 16, -32.000000, 1, 23.660746, 12196.0, 27957.56, 15761.56, 408.700000, 0.000000
16, 16, -32.000000, 1, 22.974781, 10678.0, 26439.16, 15761.16, 106.000000, 0.000000
26, 40, -36.000000, 2, 25.294401, 9378.0, 25138.76, 15760.76, 229.800000, 0.000000
45, 91, -52.000000, 4, 34.124013, 8566.0, 24327.96, 15761.96, 376.600000, 0.000000
51, 129, -48.000000, 4, 34.486052, 15636.0, 31397.56, 15761.56, 412.500000, 0.000000
88, 412, -32.000000, 9, 41.876629, 14380.0, 30140.76, 15760.76, 1073.300000, 0.000000
88, 421, -36.000000, 9, 41.667767, 20866.0, 36629.96, 15763.96, 907.000000, 0.000000
100, 590, -32.000000, 11, 42.083073, 17946.0, 33706.36, 15760.36, 2662.300000, 0.000000
